Država,Zlate medalje,Srebrne medalje,Bronaste medalje,Skupaj
Norway,14,14,11,39
Germany,14,10,7,31
Canada,11,8,10,29
United States of America,9,8,6,23
Netherlands,8,6,6,20
Sweden,7,6,1,14
Republic of Korea,5,8,4,17
Switzerland,5,6,4,15
France,5,4,6,15
Austria,5,3,6,14
Japan,4,5,4,13
Italy,3,2,5,10
OAR,2,6,9,17
Czechia,2,2,3,7
Belarus,2,1,0,3
People's Republic of China,1,6,2,9
Slovakia,1,2,0,3
Finland,1,1,4,6
Great Britain,1,0,4,5
Poland,1,0,1,2
Hungary,1,0,0,1
Ukraine,1,0,0,1
Australia,0,2,1,3
Slovenia,0,1,1,2
Belgium,0,1,0,1
New Zealand,0,0,2,2
Spain,0,0,2,2
Liechtenstein,0,0,1,1
Kazakhstan,0,0,1,1
Latvia,0,0,1,1
